"16Personalities Quiz.  You will need to first take the quiz located at https://www.16personalities.com/. This quiz will take about 10 miinutes. Select your personality letters below. E.g. ENTJ-A, INTP-A, etc.",Major_1,Major_2,Minor_1,Minor_2,PDP_Status,Grad_Year,Class_Standing,GPA,Semester_Units,Transfer,International_Student,Post_Grad_Plan,Industry,Planned_Role,Num_Football_Games,Social_Greek_Life_Status,Prof_Greek_Life_Status,Prof_Org_Status,Cultural_Org_Status,Religious_Org_Status,Sports_Org_Status,USC_Social_Exp,Merit_Scholarship_Percent,Paid_Job_Status,Time_Spent_Working,Time_Spent_Friends,Time_Spent_Family,Study_Alone,Time_Spent_Classwork,Overall_USC_Exp,Sex,Age,Home_Country,Zip_Code_US,Is_California_Home,Languages_Spoken,News_Source,Loves_to_Travel,Foodie,Purchase_Based_On_Sustainability,Reusable_Water_Bottle,Meals_Delivery_Service_Percent,Ride_Share_Percent
ENFJ-A,Business Administration,Economics and Data Science,Applied Analytics,,No,2023,Senior,3.88,16,No,Yes,Graduate School,Finance: IB/Bokerage,Client/Customer Services,0,No,No,No,No,No,No,4,0%,Yes,10-20%,10-20%,≤ 10%,Depends,20-30%,5,Female,22,CN,N/A,No,2,"Instagram,News Sites. (e.g. Wall Street Journal",Yes,Yes,No,Yes,25%,0%
INTP-T,Data Science,Cognitive Science,None,None,Yes,2022,Senior,3.25,14,"Yes, from a 2 year college.",No,Graduate School,Technology: Software/Internet,"Information Services, Statistics, Records, and Archives",1-4,Yes,No,No,No,No,No,1,0%,No,30-40%,10-20%,≤ 10%,Yes,≤ 10%,3,Male,23,US,94024,Yes,2,"Instagram,Snapchat,Twitter,Youtube",Yes,Yes,No,Yes,75%,50%
ENFJ-T,Business Administration,,Applied Analytics,,No,2023,Senior,3.48,12,No,No,Work,Consulting,Business/Corporate Services,1-4,Yes,No,Yes,Yes,No,No,4,25%,Yes,10-20%,30-40%,≤ 10%,Depends,20-30%,4,Male,22,US,98501,Yes,2,"Instagram,Tiktok,Youtube,News Sites. (e.g. Wall Street Journal",Yes,Yes,No,Yes,25%,25%
ENTP-A,ISE,none,UX,none,No,2023,Senior,3.7,16,"Yes, from a 2 year college.",No,Work,Technology: Software/Internet,Engineering,1-4,No,No,Yes,Yes,No,No,4,0%,Yes,≤ 10%,20-30%,10-20%,Depends,20-30%,4,Female,21,US,91344,Yes,2,"Instagram,Snapchat,Tiktok",Yes,No,No,No,0%,0%
ESFJ-T,Data Science ,Economics,None,None,No,2023,Senior,3.7,16,"Yes, from a 2 year college.",No,Work,Technology: Software/Internet,Client/Customer Services,0,No,Yes,No,No,No,No,5,0%,Yes,10-20%,20-30%,≤ 10%,Yes,20-30%,5,Male,22,US,95135,Yes,1,"Instagram,Snapchat,Facebook,Twitter",No,No,No,Yes,25%,25%
ENFJ-T,Economics,Data Science,None,,No,2023,Senior,4,16,"Yes, from a 4 year college.",Yes,Work,Consulting,Client/Customer Services,0,No,No,Yes,No,No,No,4,0%,Yes,≤ 10%,20-30%,≤ 10%,Depends,30-40%,4,Male,21,CN,N/A,No,2,"Instagram,News Sites. (e.g. Wall Street Journal",Yes,No,No,Yes,0%,25%
ESTJ-A,Business Administration,none,Applied Analytics,none,No,2023,Senior,3.75,18,"Yes, from a 4 year college.",No,Work,Consulting,Business/Corporate Services,5-8,No,No,Yes,Yes,No,No,4,25%,No,≤ 10%,> 50%,≤ 10%,Depends,30-40%,5,Male,21,US,96822,No,1,"Instagram,Twitter,Youtube,News Sites. (e.g. Wall Street Journal",Yes,Yes,Yes,Yes,0%,0%
ENTJ-T,Business Adminitration,,Applied Analytics,,No,2022,Senior,3.5,18,"Yes, from a 2 year college.",Yes,Work,Technology: Other,"Information Services, Statistics, Records, and Archives",1-4,No,No,Yes,Yes,No,No,2,0%,No,≤ 10%,10-20%,10-20%,Depends,20-30%,4,Male,22,ID,N/A,No,2,"Instagram,Youtube,News Sites. (e.g. Wall Street Journal",Yes,Yes,Yes,Yes,0%,100%
INTJ-T,Data Science,Applied and Computational Mathematics,Computer Science,,Planning on joining.,2024,Junior,3.98,18,No,Yes,Graduate School,Technology: Software/Internet,Information and Communications Technology,0,No,No,Yes,No,No,Yes,3,0%,Yes,≤ 10%,30-40%,≤ 10%,Depends,10-20%,4,Male,20,CN,N/A,No,2,Youtube,No,Yes,No,Yes,25%,75%
ENFJ-T,Communication,,Applied Analytics ,Risk Management ,No,2022,Senior,3.6,18,No,No,Work,Technology: Other,Business/Corporate Services,1-4,No,Yes,Yes,No,No,No,4,0%,Yes,> 50%,10-20%,≤ 10%,Depends,30-40%,5,Male,22,US,91914,Yes,2,"Instagram,Tiktok,Youtube,Google News,News Sites. (e.g. Wall Street Journal",Yes,Yes,Yes,Yes,75%,25%
ENTJ-A,industrial and systems engineering,n/a,n/a,n/a,No,2022,Senior,3.69,18,No,No,Work,Consulting,Business/Corporate Services,5-8,Yes,No,No,No,Yes,No,4,25%,Yes,20-30%,> 50%,≤ 10%,Depends,10-20%,4,Male,21,us,15237,No,1,"Instagram,Snapchat,News Sites. (e.g. Wall Street Journal",Yes,Yes,Yes,Yes,25%,25%
ENFP-A,Economics,,Applied Analytics,Blockchain,No,2023,Senior,3.29,12,No,No,Work,Finance: FinTech,Engineering,5-8,Yes,No,No,No,No,No,5,0%,Yes,30-40%,> 50%,≤ 10%,Yes,10-20%,5,Male,22,US,10023,No,2,Twitter,Yes,Yes,No,Yes,25%,50%
ENFP-T,Economics,,Applied Analytics ,,No,2024,Senior,3.68,16,No,No,Work,Consulting,Business/Corporate Services,0,Yes,No,Yes,No,No,No,4,100%,No,≤ 10%,30-40%,≤ 10%,Depends,10-20%,3,Male,21,RO,N/A,No,2,"Instagram,Twitter,Tiktok,Youtube,Google News,News Sites. (e.g. Wall Street Journal",Yes,Yes,Yes,Yes,25%,25%
ISFP-T,Business Adinstration,,Applied Analytics,,No,2022,Senior,3.97,18,No,Yes,Work,Consulting,Client/Customer Services,0,No,No,No,Yes,Yes,No,3,0%,Yes,10-20%,20-30%,10-20%,Yes,20-30%,4,Female,21,ID,N/A,No,2,"Instagram,Youtube,News Sites. (e.g. Wall Street Journal",Yes,Yes,No,Yes,25%,0%
INTJ-A,Economics,Environmental Data Science,Applied Analytics,,Yes,2023,Graduate Student,3.8,13,No,No,Work,Government,Engineering,1-4,No,No,No,No,No,Yes,4,0%,Yes,≤ 10%,30-40%,10-20%,Yes,30-40%,5,Male,22,US,91325,Yes,2,"Instagram,Snapchat,Twitter,TV,Youtube,Google News,News Sites. (e.g. Wall Street Journal",No,Yes,Yes,Yes,0%,0%
INFP-T,Human Biology,,Applied Analytics,,No,2023,Senior,3.82,12,No,No,Work,Pharmaceuticals/Biotech/Medical Devices,Information and Communications Technology,0,No,No,No,Yes,No,No,3,0%,Yes,20-30%,10-20%,≤ 10%,Depends,30-40%,3,Female,21,US,94536,Yes,2,"Tiktok,Other",Yes,Yes,Yes,No,50%,25%
ISTP-T,Cognitive Science,,Applied Analytics,,No,2022,Senior,3.14,16,No,No,Work,Technology: Software/Internet,Other,0,Yes,No,No,No,No,No,5,0%,No,30-40%,30-40%,≤ 10%,Yes,20-30%,4,Female,22,US,06820,No,1,"Instagram,Tiktok,News Sites. (e.g. Wall Street Journal",Yes,No,Yes,No,25%,0%
ENTP-T,Business Administration (Finance),Accounting,Applied Analytics,,No,2023,Senior,3.63,16,No,No,Work,Finance: Accounting,Business/Corporate Services,5-8,No,No,Yes,No,No,No,2,0%,No,≤ 10%,> 50%,≤ 10%,Yes,20-30%,3,Male,21,US,21228,Yes,2,"Instagram,Twitter,Youtube,News Sites. (e.g. Wall Street Journal",Yes,Yes,No,Yes,25%,0%
ESFJ-T,Business Administration,,Enterprise Information System,,No,2023,Senior,3.6,22,"Yes, from a 2 year college.",No,Gap Year(s),Wholesale,Business/Corporate Services,1-4,No,No,No,No,No,No,4,0%,No,10-20%,20-30%,10-20%,Yes,10-20%,4,Female,22,CN,NA,Yes,2,"Instagram,Twitter,Youtube,News Sites. (e.g. Wall Street Journal",Yes,Yes,Yes,No,75%,0%
INFJ-T,Business Administration,N/A,Applied Analytics ,N/A,No,2023,Senior,3.88,18,"Yes, from a 4 year college.",No,Work,Finance:VC/Private Equities,Finance Management,1-4,No,No,No,No,No,No,3,0%,No,10-20%,20-30%,10-20%,Depends,>50%,3,Female,22,US,92657,Yes,1,"Instagram,Tiktok,TV,News Sites. (e.g. Wall Street Journal",Yes,Yes,Yes,No,25%,25%
ENTP-T,Industrial and Systems Engineering ,,none,,No,2023,Senior,3.5,16,"Yes, from a 2 year college.",No,Work,Consulting,Risk Management,8+,No,No,No,No,No,No,4,25%,No,10-20%,> 50%,≤ 10%,Yes,20-30%,3,Male,22,us,94086,Yes,1,"Instagram,Tiktok,Youtube,Google News,News Sites. (e.g. Wall Street Journal",Yes,Yes,Yes,Yes,25%,0%
ISFP-T,Economics,Data Science,None,,No,2023,Senior,3.8,16,No,No,Work,Finance: IB/Bokerage,Business/Corporate Services,1-4,No,No,No,Yes,No,Yes,4,0%,No,≤ 10%,30-40%,≤ 10%,Depends,≤ 10%,3,Male,21,HK,N/A,No,2,"Instagram,Twitter,Google News,News Sites. (e.g. Wall Street Journal",No,No,No,No,0%,0%
INFP-T,Intelligence and Cyber Operations,,Applied Analytics,,No,2023,Senior,2.79,14,No,No,Work,Technology: Other,Information and Communications Technology,0,No,No,No,Yes,No,No,0,0%,Yes,30-40%,≤ 10%,10-20%,Yes,>50%,1,Female,23,US,90059,Yes,1,"Instagram,TV,Youtube,Google News,News Sites. (e.g. Wall Street Journal,Other",No,Yes,Yes,No,0%,0%
ESTJ-A,Industrial and Systems Engineering,,Applied Analytics,,No,2023,Senior,3.86,16,No,Yes,Graduate School,Consulting,Business/Corporate Services,1-4,No,No,Yes,Yes,No,Yes,5,0%,No,≤ 10%,30-40%,10-20%,Depends,20-30%,5,Male,21,KW,N/A,No,2,"Twitter,News Sites. (e.g. Wall Street Journal",Yes,Yes,No,Yes,50%,25%
INTP-A,Business Administration,,Applied Analytics,Innovation: The Digital Entrepreneur,No,2023,Senior,3.82,18,No,Yes,Work,Technology: Software/Internet,Other,1-4,No,Yes,Yes,Yes,No,No,4,0%,No,≤ 10%,20-30%,10-20%,Yes,20-30%,4,Male,22,TH,N/A,No,2,"Instagram,Facebook,Youtube",Yes,No,No,No,0%,0%
ENTJ-A,Business Administration,,Applied Analytics,,No,2024,Junior,3.83,18,No,No,Work,Consulting,Business/Corporate Services,1-4,No,No,Yes,No,No,Yes,2,100%,Yes,20-30%,10-20%,10-20%,Depends,30-40%,2,Male,20,VN,N/A,Yes,2,"Instagram,Twitter,Google News",Yes,Yes,No,Yes,25%,25%
ENFP-A,Business Administration ,N/A,Applied Analytics,Psychology,No,2022,Senior,3.31,16,No,No,Work,Consulting,Business/Corporate Services,1-4,Yes,No,Yes,Yes,Yes,Yes,4,50%,Yes,30-40%,10-20%,≤ 10%,Yes,10-20%,4,Male,22,US,11210,Yes,3,"Instagram,Twitter,Youtube,News Sites. (e.g. Wall Street Journal,Other",Yes,Yes,No,No,25%,50%
ESTJ-A,Economics,Data Science,None,,Planning on joining.,2023,Senior,3.77,16,No,Yes,Graduate School,Retail,Business/Corporate Services,1-4,No,No,No,Yes,No,No,3,0%,No,≤ 10%,20-30%,≤ 10%,Depends,>50%,4,Male,22,CN,N/A,Yes,2,News Sites. (e.g. Wall Street Journal,Yes,Yes,No,No,75%,0%
ENFP-T,Economics,,Applied Analytics,,No,2022,Senior,3.64,16,No,Yes,Work,Consulting,Finance Management,5-8,No,No,No,No,No,Yes,4,0%,Yes,10-20%,> 50%,≤ 10%,Depends,20-30%,4,Male,21,IN,N/A,No,3,"Instagram,Snapchat,Tiktok,News Sites. (e.g. Wall Street Journal,Other",Yes,Yes,Yes,Yes,25%,25%
